Date,Open,High,Low,Close,Adj Close,Volume
2016-06-27,7.189167,7.199167,6.816667,6.928333,6.914031,58990800
2016-06-28,7.139167,7.3725,7.1325,7.3625,7.347302,49867200
2016-06-29,7.5425,7.799167,7.528333,7.745,7.729012,52116000
2016-06-30,7.791667,8.035833,7.716667,8.026667,8.010098,41452800
2016-07-01,8.0125,8.234167,8.003333,8.136667,8.119871,32856000
2016-07-05,8.031667,8.046667,7.863333,7.9925,7.976001,32734800
2016-07-06,7.883333,8.198333,7.805833,8.180833,8.163945,43369200
2016-07-07,8.2175,8.316667,8.145833,8.258333,8.241285,31557600
2016-07-08,8.380833,8.66,8.358333,8.64,8.622164,37510800
2016-07-11,8.738333,8.888333,8.73,8.7875,8.769361,35661600
2016-07-12,8.950833,8.996667,8.890833,8.925833,8.907407,28947600
2016-07-13,8.998333,9.003333,8.8575,8.863333,8.845037,31603200
2016-07-14,9.039167,9.091667,8.975833,9.043333,9.024665,27476400
2016-07-15,9.101667,9.1175,8.9375,8.9925,8.973937,21354000
2016-07-18,9.016667,9.223333,9.009167,9.171667,9.152735,20965200
2016-07-19,9.083333,9.16,9.028333,9.076667,9.05793,19666800
2016-07-20,9.215833,9.443333,9.189167,9.3875,9.368121,22681200
2016-07-21,9.415833,9.465,9.251667,9.331667,9.312404,28201200
2016-07-22,9.353333,9.475,9.261667,9.44,9.420513,21700800
2016-07-25,9.419167,9.449167,9.35,9.448333,9.428829,19060800
2016-07-26,9.439167,9.58,9.333333,9.48,9.460431,34088400
2016-07-27,9.7125,9.7475,9.550833,9.665,9.645049,32641200
2016-07-28,9.718333,9.806667,9.626667,9.77,9.749832,21780000
2016-07-29,9.84,9.915,9.745,9.834167,9.813867,25658400
2016-08-01,9.858333,10.064167,9.821667,9.988333,9.967714,26329200
2016-08-02,9.945833,9.974167,9.5725,9.763333,9.743179,40276800
2016-08-03,9.741667,9.860833,9.7225,9.855833,9.835487,21333600
2016-08-04,9.853333,9.9725,9.780833,9.944167,9.923639,21007200
2016-08-05,10.105,10.295833,10.0625,10.231667,10.210546,30870000
2016-08-08,10.249167,10.255,10.0975,10.199167,10.178113,18975600
2016-08-09,10.216667,10.360833,10.2,10.266667,10.245474,19954800
2016-08-10,10.274167,10.29,10.104167,10.1875,10.166471,21930000
2016-08-11,10.283333,10.383333,10.2275,10.319167,10.297866,17162400
2016-08-12,10.258333,10.338333,10.228333,10.338333,10.316993,17068800
2016-08-15,10.375,10.5375,10.365,10.468333,10.446724,14313600
2016-08-16,10.4075,10.416667,10.289167,10.303333,10.282064,15649200
2016-08-17,10.303333,10.359167,10.131667,10.351667,10.330299,22459200
2016-08-18,10.319167,10.401667,10.266667,10.361667,10.340278,14188800
2016-08-19,10.305,10.414167,10.218333,10.3475,10.326139,18404400
2016-08-22,10.298333,10.424167,10.245,10.3575,10.336121,18310800
2016-08-23,10.483333,10.543333,10.411667,10.419167,10.397658,15663600
2016-08-24,10.404167,10.449167,10.120833,10.218333,10.197239,17799600
2016-08-25,10.1375,10.263333,10.1025,10.17,10.149007,14611200
2016-08-26,10.183333,10.413333,10.033333,10.219167,10.198071,26828400
2016-08-29,10.225,10.339167,10.219167,10.2475,10.226347,12458400
2016-08-30,10.21,10.295833,10.051667,10.155,10.134037,16437600
2016-08-31,10.110833,10.156667,9.995833,10.128333,10.107426,17904000
2016-09-01,10.135,10.235,9.985,10.173333,10.152332,21488400
2016-09-02,10.354167,10.415833,10.184167,10.2925,10.271253,22684800
2016-09-06,10.354167,10.491667,10.283333,10.483333,10.461693,16496400
2016-09-07,10.515833,10.561667,10.390833,10.5025,10.480821,14518800
2016-09-08,10.416667,10.4225,10.2425,10.3225,10.301192,17516400
2016-09-09,10.070833,10.133333,9.54,9.54,9.520308,40228800
2016-09-12,9.396667,10.095,9.379167,10.029167,10.008465,32662800
2016-09-13,9.895,9.99,9.640833,9.7925,9.772285,31327200
2016-09-14,9.8175,10.083333,9.8075,9.918333,9.89786,27882000
2016-09-15,9.933333,10.4275,9.925,10.378333,10.35691,32965200
2016-09-16,10.3525,10.401667,10.216667,10.366667,10.345267,20380800
2016-09-19,10.445833,10.544167,10.175833,10.230833,10.209714,22917600
2016-09-20,10.333333,10.416667,10.24,10.2875,10.266265,18945600
2016-09-21,10.416667,10.634167,10.240833,10.586667,10.564813,34650000
