,Date,Open,High,Low,Close,Adj Close,Volume
96,2021-04-07,330.329987,332.480011,329.369995,331.619995,330.868927,32046400
97,2021-04-08,334.559998,335.269989,333.73999,335.079987,334.321075,29940800
98,2021-04-09,333.679993,337.320007,332.920013,337.109985,336.346497,36664900
99,2021-04-12,336.040009,337.100006,334.730011,336.670013,335.907532,25833000
100,2021-04-13,338.23999,341.079987,338.019989,340.600006,339.828613,30374000
101,2021-04-14,340.850006,340.980011,335.670013,336.51001,335.747894,42564300
102,2021-04-15,339.470001,342.01001,336.220001,341.609985,340.836304,36342800
103,2021-04-16,342.149994,342.230011,340.079987,342.01001,341.235413,40860100
104,2021-04-19,340.390015,341.579987,336.899994,338.880005,338.112518,34533100
105,2021-04-20,338.200012,339.519989,334.380005,336.410004,335.648102,38081800
106,2021-04-21,335.089996,339.480011,333.970001,339.290009,338.521576,36598100
107,2021-04-22,338.890015,339.899994,334.01001,335.200012,334.440857,45936100
108,2021-04-23,335.850006,340.769989,335.850006,339.420013,338.651276,36381900
109,2021-04-26,339.670013,341.920013,338.899994,341.630005,340.856262,30812000
110,2021-04-27,341.929993,342.149994,339.170013,340.149994,339.379639,33187200
111,2021-04-28,339.809998,340.850006,338.329987,339,338.232208,33615700
112,2021-04-29,342.369995,342.799988,336.899994,340.220001,339.449463,37708900
113,2021-04-30,337.700012,340.26001,337.049988,337.98999,337.224518,38263400
114,2021-05-03,339.230011,340,335.730011,336.190002,335.428589,29729700
115,2021-05-04,333.559998,333.890015,326.209991,330.140015,329.392303,65147000
116,2021-05-05,332.25,333.140015,328.230011,329.029999,328.284821,46219300
117,2021-05-06,328.76001,331.670013,326.450012,331.51001,330.759216,46814300
118,2021-05-07,334.369995,336.649994,331.690002,334.200012,333.443085,53324500
119,2021-05-10,332.779999,332.959991,325.549988,325.76001,325.022217,60700500
120,2021-05-11,319.700012,326.130005,319.019989,325.309998,324.573212,71963600
121,2021-05-12,320.230011,322.619995,316,316.890015,316.172333,91164900
122,2021-05-13,319.920013,322.399994,316.899994,319.339996,318.61676,69877800
123,2021-05-14,322.600006,327.329987,322.079987,326.390015,325.650787,44370000
124,2021-05-17,324.630005,326.369995,321.450012,324.410004,323.675262,39395000
125,2021-05-18,325.390015,326.649994,321.940002,322.220001,321.490204,36528500
